Fecha,Codigo_Finca,Kilos,Ingreso_USD
2017-06-01,1101,875,3062.5
2017-06-01,1202,325,1137.5
2017-06-01,1303,708,2478.0
2017-06-01,9999,580,2030.0
2017-07-01,1202,758,2653.0
2017-07-01,1303,291,1018.5
2017-07-01,9999,116,406.0
2017-08-01,1101,257,899.5
2017-08-01,1202,472,1652.0
2017-08-01,1303,991,3468.5
2017-09-01,1101,596,2086.0
2017-09-01,1202,706,2471.0
2017-09-01,1303,215,752.5
2017-10-01,1101,260,910.0
2017-10-01,1202,227,794.5
2017-10-01,1303,834,2919.0
2017-10-01,9999,422,1477.0
2017-11-01,1101,891,3118.5
2017-11-01,1303,762,2667.0
2017-12-01,1101,485,1697.5
2017-12-01,1202,203,710.5
2017-12-01,1303,910,3185.0
2017-12-01,9999,138,483.0
2018-01-01,1202,966,3381.0
2018-01-01,9999,927,3244.5
2018-02-01,1101,924,3234.0
2018-02-01,1202,119,416.5
2018-02-01,1303,611,2138.5
2018-02-01,9999,753,2635.5
2018-03-01,1101,570,1995.0
2018-03-01,1303,899,3146.5
2018-03-01,9999,953,3335.5
2018-04-01,1101,797,2789.5
2018-04-01,1202,224,784.0
2018-04-01,1303,669,2341.5
2018-05-01,1202,153,535.5
2018-05-01,1303,712,2492.0
2018-05-01,9999,152,532.0
2018-06-01,1202,202,707.0
2018-07-01,1101,146,511.0
2018-07-01,1202,919,3216.5
2018-07-01,9999,205,717.5
2018-08-01,1101,756,2646.0
2018-08-01,1202,886,3101.0
2018-08-01,1303,445,1557.5
2018-09-01,1101,890,3115.0
2018-09-01,1202,740,2590.0
2018-10-01,1202,659,2306.5
2018-10-01,9999,996,3486.0
2018-11-01,1101,803,2810.5
2018-11-01,1202,889,3111.5
2018-11-01,1303,175,612.5
2018-11-01,9999,534,1869.0
2018-12-01,1101,796,2786.0
2018-12-01,1202,319,1116.5
2019-01-01,1101,552,1932.0
2019-01-01,1202,317,1109.5
2019-01-01,1303,440,1540.0
2019-01-01,9999,388,1358.0
2019-02-01,1101,456,1596.0
2019-02-01,1202,621,2173.5
2019-02-01,1303,199,696.5
2019-03-01,1101,861,3013.5
2019-03-01,1202,707,2474.5
2019-03-01,1303,424,1484.0
2019-03-01,9999,115,402.5
2019-04-01,1202,596,2086.0
2019-04-01,1303,259,906.5
2019-04-01,9999,763,2670.5
2019-05-01,1101,774,2709.0
2019-05-01,1202,790,2765.0
2019-05-01,1303,367,1284.5
2019-05-01,9999,516,1806.0
2019-06-01,1101,142,497.0
2019-07-01,1303,948,3318.0
2019-07-01,9999,704,2464.0
2019-08-01,1101,701,2453.5
2019-08-01,1202,214,749.0
2019-09-01,1101,592,2072.0
2019-09-01,1202,475,1662.5
2019-09-01,1303,376,1316.0
2019-09-01,9999,775,2712.5
2019-10-01,1202,291,1018.5
2019-10-01,1303,198,693.0
2019-10-01,9999,195,682.5
2019-11-01,1101,289,1011.5
2019-11-01,1202,879,3076.5
2019-11-01,1303,624,2184.0
2019-11-01,9999,966,3381.0
2019-12-01,1202,161,563.5
2019-12-01,1303,828,2898.0
2019-12-01,9999,798,2793.0
2020-01-01,1303,175,612.5
2020-01-01,9999,895,3132.5
2020-02-01,1101,483,1690.5
2020-02-01,1202,605,2117.5
2020-02-01,1303,984,3444.0
2020-03-01,1101,990,3465.0
2020-03-01,1303,243,850.5
2020-03-01,9999,208,728.0
2020-04-01,1101,285,997.5
2020-04-01,1303,232,812.0
2020-04-01,9999,832,2912.0
2020-05-01,1101,757,2649.5
2020-05-01,1202,108,378.0
2020-05-01,1303,591,2068.5
2020-05-01,9999,329,1151.5
2020-06-01,1202,269,941.5
2020-06-01,1303,894,3129.0
2020-06-01,9999,616,2156.0
2020-07-01,1101,521,1823.5
2020-07-01,1202,595,2082.5
2020-07-01,1303,441,1543.5
2020-07-01,9999,610,2135.0
2020-08-01,1101,400,1400.0
2020-08-01,1202,169,591.5
2020-08-01,1303,886,3101.0
2020-08-01,9999,281,983.5
2020-09-01,1101,813,2845.5
2020-09-01,1202,138,483.0
2020-09-01,1303,272,952.0
2020-10-01,1101,157,549.5
2020-10-01,1202,555,1942.5
2020-10-01,9999,100,350.0
2020-11-01,1101,447,1564.5
2020-11-01,1202,290,1015.0
2020-11-01,1303,508,1778.0
2020-11-01,9999,216,756.0
2020-12-01,1101,655,2292.5
2020-12-01,1202,272,952.0
2020-12-01,9999,985,3447.5
2021-01-01,1101,863,3020.5
2021-01-01,1303,631,2208.5
2021-02-01,9999,665,2327.5
2021-03-01,1101,755,2642.5
2021-03-01,1202,111,388.5
2021-03-01,1303,883,3090.5
2021-03-01,9999,507,1774.5
2021-04-01,1101,107,374.5
2021-04-01,1303,747,2614.5
2021-04-01,9999,277,969.5
2021-05-01,1202,839,2936.5
2021-05-01,1303,601,2103.5
2021-06-01,1202,560,1960.0
2021-06-01,1303,657,2299.5
2021-07-01,1101,982,3437.0
2021-07-01,1202,914,3199.0
2021-07-01,1303,109,381.5
2021-07-01,9999,341,1193.5
2021-08-01,1101,104,364.0
2021-08-01,1303,164,574.0
2021-08-01,9999,338,1183.0
2021-09-01,1202,162,567.0
2021-09-01,1303,926,3241.0
2021-09-01,9999,560,1960.0
2021-11-01,1202,808,2828.0
2021-11-01,1303,969,3391.5
2021-11-01,9999,122,427.0
2021-12-01,1101,776,2716.0
2021-12-01,1202,182,637.0
2021-12-01,9999,977,3419.5
2022-01-01,9999,587,2054.5
2022-02-01,1101,447,1564.5
2022-02-01,9999,537,1879.5
2022-03-01,1101,990,3465.0
2022-03-01,1202,153,535.5
2022-03-01,1303,833,2915.5
2022-03-01,9999,500,1750.0
2022-04-01,1303,952,3332.0
2022-04-01,9999,174,609.0
2022-05-01,9999,197,689.5
2022-06-01,1101,434,1519.0
2022-06-01,1202,546,1911.0
2022-06-01,1303,348,1218.0
2022-06-01,9999,434,1519.0
2022-07-01,1101,858,3003.0
2022-07-01,1202,180,630.0
2022-07-01,1303,999,3496.5
2022-07-01,9999,500,1750.0
2022-08-01,1101,607,2124.5
2022-08-01,9999,549,1921.5
2022-09-01,1101,846,2961.0
2022-09-01,1202,982,3437.0
2022-09-01,1303,762,2667.0
2022-10-01,1303,459,1606.5
2022-10-01,9999,380,1330.0
2022-11-01,1101,294,1029.0
2022-11-01,1202,771,2698.5
2023-01-01,1303,445,1557.5
2023-01-01,9999,177,619.5
2023-02-01,1101,172,602.0
2023-02-01,1303,313,1095.5
2023-03-01,1101,930,3255.0
2023-03-01,1202,436,1526.0
2023-03-01,9999,724,2534.0
2023-04-01,1101,791,2768.5
2023-04-01,1303,825,2887.5
2023-05-01,1101,177,619.5
2023-05-01,1202,464,1624.0
2023-06-01,1202,849,2971.5
2023-06-01,1303,607,2124.5
2023-07-01,1101,838,2933.0
2023-07-01,1202,291,1018.5
2023-07-01,9999,813,2845.5
2023-08-01,1101,372,1302.0
2023-08-01,1303,911,3188.5
2023-09-01,1101,124,434.0
2023-09-01,1202,166,581.0
2023-09-01,1303,245,857.5
2023-10-01,1101,133,465.5
2023-10-01,1202,468,1638.0
2023-10-01,1303,653,2285.5
2023-11-01,1101,381,1333.5
2023-11-01,1202,542,1897.0
2023-11-01,1303,976,3416.0
2023-11-01,9999,476,1666.0
