,id,name,transit,host_id,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,street,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,guests_included,extra_people,minimum_nights,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,check_in_24h,air_conditioning,high_end_electronics,bbq,balcony,nature_and_views,bed_linen,breakfast,tv,coffee_machine,cooking_basics,white_goods,elevator,gym,child_friendly,parking,outdoor_space,host_greeting,hot_tub_sauna_or_pool,internet,long_term_stays,pets_allowed,private_entrance,secure,self_check_in,smoking_allowed,accessible,event_suitable
112,177495,"PRIME, Luxury, Spacious 2 Bedroom Apt in Chelsea","The 1, 2, and 3, metro lines are on the corner.  The F, L, A, C, E trains are also within a 10 minute walk from the apartment for easy access north south and east.",848960,40745.0,within an hour,1.0,0.0,1.0,0.0,"New York, NY, United States",Manhattan,40.73939,-73.9961199999999,Condominium,Entire home/apt,4,1.5,2,2,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Doorman,Gym,Elevator,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",Bathtub,""Baby bath"",""Window guards"",""Babysitter recommendations"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallways"",""No stairs or steps to enter"",""Wide entrance for guests"",""Flat path to guest entrance"",""Well-lit path to entrance"",""No stairs or steps to enter"",""Wide entrance"",""Extra space around bed"",""Accessible-height bed"",""No stairs or steps to enter"",""Wide doorway to guest bathroom"",""Accessible-height toilet"",""Wide clearance to shower, toilet"",""No stairs or steps to enter"",""Wide entryway"",""Handheld shower head""}",429,2,0,10,2 months ago,1,0,0,0,0,18,8,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,1,1,0,0,0.9,-1,1,-1,1,1,-1,1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1
116,188146,"""The Oasis"" on Bedford Williamsburg",,906200,40756.0,within a day,1.0,0.0,1.0,1.0,"Brooklyn, NY, United States",Williamsburg,40.7158,-73.95803,Apartment,Entire home/apt,4,1.0,3,3,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer}",350,1,0,6,5 weeks ago,1,6,31,31,233,1,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,1,1,0,0,0.02,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
146,250537,The Lenox in Harlem,,1313306,40835.0,within an hour,0.83,0.0,2.0,1.0,"New York, NY, United States",Harlem,40.81122,-73.94279,Apartment,Entire home/apt,6,2.0,2,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Washer / Dryer"",Doorman,Gym,Elevator,Heating,""Family/kid friendly"",Washer,Dryer,""Host greets you""}",400,2,50,5,19 months ago,1,30,60,90,365,0,0,,,,,,,,0,moderate,2,1,1,0,,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
148,253828,Duplex w/ Terrace @ Box House Hotel,"Located in north Greenpoint--just a 10 minute walk over the Pulaski Bridge to the Vernon Blvd-Jackson Ave 7 train station, which is just one stop to Grand Central Station. Also, just a short walk to the Greenpoint Avenue G train or the East River Ferry. Greenpoint is an artsy Brooklyn neighborhood filled with great restaurants, cafes, and shops.",417504,40603.0,within an hour,1.0,0.0,28.0,1.0,"Brooklyn, NY, United States",Brooklyn,40.73674,-73.9524699999999,Boutique hotel,Private room,4,1.0,1,2,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Doorman,Gym,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed""}",349,2,0,3,today,1,4,27,27,58,8,1,100.0,10.0,10.0,10.0,10.0,9.0,9.0,0,strict_14_with_grace_period,28,17,11,0,0.09,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1
158,261781,1500+ sq ft 2BR West Village Loft,,1359519,40848.0,,,0.0,1.0,1.0,"New York, NY, United States",West Village,40.7337799999999,-74.00429,Apartment,Entire home/apt,4,2.0,2,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Gym,Elevator,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""High chair"",""Children’s books and toys"",""Hot water"",""Luggage dropoff allowed"",""Host greets you"",""Paid parking on premises""}",375,1,0,7,12 months ago,1,0,0,0,0,8,0,95.0,10.0,8.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,1,1,0,0,0.12,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
162,265506,Luxury NYC 2 Bedroom with Terrace,"The apartment is half a block from the entrance to the MTA Subway 4/5/6 (N/S on Lexington Avenue) and N/R lines (Crosstown/downtown or Queens), as well as the Roosevelt Island Tram (a fun outing and great view of NYC)  There is also easy access to the 2nd Avenue (downtown) and 3rd Avenue (uptown) buses.  Taxis are usually very easy to catch as they come off the Queensboro Bridge in to Manhattan and feed on to 60th Street.",1392440,40857.0,,,0.0,1.0,1.0,"New York, NY, United States",Manhattan,40.76128,-73.96463,Apartment,Entire home/apt,6,1.0,2,3,Real Bed,"{""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Heating,Washer,Dryer,Hangers,""Hair dryer"",""Laptop friendly workspace""}",485,4,50,7,43 months ago,1,0,0,0,0,11,0,98.0,9.0,9.0,10.0,10.0,9.0,9.0,0,strict_14_with_grace_period,1,1,0,0,0.12,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1
222,329064,Your Historic House in Brooklyn,"5-minute walk from an express train that takes you to Manhattan in 20/30 minutes (B and Q trains, Newkirk Plaza). Parking for 4 cars on our private driveway. - 5-minute ride to Prospect Park, Brooklyn Botanical Gardens and the Brooklyn Museum.   - 10-minute ride to Brighton Beach and Coney Island.  - JFK International Airport is a 20-minute taxi ride.  - 3 blocks from Brooklyn College;  - 10-minute ride to Brooklyn Academy of Music,  - 30-minute ride to midtown Manhattan.",1680375,40939.0,,,0.0,1.0,0.0,"Brooklyn, NY, United States",Brooklyn,40.63593,-73.96076,House,Entire home/apt,9,2.5,5,6,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Gym,""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials}",500,8,25,4,30 months ago,1,0,0,0,0,9,0,89.0,9.0,8.0,10.0,10.0,9.0,9.0,0,strict_14_with_grace_period,1,1,0,0,0.11,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1
250,394235,Flatiron-Designer's loft,,1970839,40987.0,,,0.0,1.0,1.0,"New York, NY, United States",Flatiron District,40.74125,-73.98862,Loft,Entire home/apt,2,1.0,1,1,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Heating,Washer,Dryer}",350,1,0,7,40 months ago,1,0,0,0,0,0,0,,,,,,,,0,strict_14_with_grace_period,1,1,0,0,,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
272,437906,GREAT 1BR/2BA TERRACE & W/D! in EV!,"Two buses right across the street, train about 4 blocks away.",2175110,41018.0,,,0.0,1.0,1.0,"New York, NY, United States",Manhattan,40.728,-73.97903,Apartment,Entire home/apt,2,2.0,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",Gym,Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",350,1,0,5,32 months ago,1,0,0,0,0,4,0,95.0,10.0,10.0,10.0,10.0,10.0,9.0,0,moderate,1,1,0,0,0.07,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1
291,471758,TriBeCa Amazing River View Loft 3BR,"Close you can find:  E,A,C ,1,2,3 subway train station many Public buses",2339722,41039.0,,,0.0,1.0,1.0,"New York, NY, United States",Manhattan,40.72203,-74.00988,Loft,Entire home/apt,5,2.0,3,4,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Elevator,""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Long term stays allowed"",""Host greets you""}",500,1,0,10,8 months ago,1,0,0,0,0,3,0,100.0,10.0,10.0,10.0,10.0,9.0,10.0,0,strict_14_with_grace_period,1,1,0,0,0.05,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1
302,478949,"Spectacular Lux 1 Bed Apt, Best Location, Terrace!",,1130454,40794.0,,,0.0,1.0,1.0,"New York, NY, United States",Chelsea,40.74087,-74.0022599999999,Apartment,Entire home/apt,2,1.0,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Gym,Elevator,""Buzzer/wireless intercom"",Heating,Washer,Dryer,Essentials,Shampoo,""24-hour check-in"",""translation missing: en.hosting_amenity_49""}",380,1,50,3,7 months ago,1,0,0,0,0,16,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,strict_14_with_grace_period,1,1,0,0,0.19,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
303,484297,Large home in most desirable Brooklyn hood!,The C train is just two blocks away. The G train is three blocks away. Guests can typically find on-street parking.,2397411,41046.0,,,0.0,2.0,0.0,"Brooklyn, NY, United States",Clinton Hill,40.68545,-73.96534,Townhouse,Entire home/apt,10,4.5,5,6,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""Children’s books and toys"",""Window guards"",""Room-darkening shades"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallways"",""Wide entrance for guests"",""Well-lit path to entrance"",""No stairs or steps to enter"",""Wide entrance"",""Extra space around bed"",""Accessible-height bed"",""No stairs or steps to enter"",""Wide doorway to guest bathroom"",""Accessible-height toilet"",""Wide clearance to shower, toilet"",""Wide entryway""}",350,6,45,4,12 months ago,1,0,0,0,0,10,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,1,1,0,0,0.12,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1
336,523123,Tranquility & convenience in Bklyn,"The 15th St/Prospect Park subway (F and G train) is a block and a half away, the R train a bit further. Good access to several bus lines. Express trains available via transfer or longer walk.",2572253,41067.0,within a few hours,1.0,0.0,1.0,1.0,"Brooklyn, NY, United States",Park Slope,40.6605099999999,-73.98495,Townhouse,Entire home/apt,6,2.0,4,4,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Outlet covers"",Bathtub,""Changing table"",""High chair"",""Stair gates"",""Children’s books and toys"",""Window guards"",Crib,""Pack ’n Play/travel crib"",""Room-darkening shades"",""Children’s dinnerware"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard""}",375,1,0,5,a week ago,1,14,29,32,43,19,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,1,1,0,0,0.23,-1,1,-1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1
346,531208,Industrial Loft in Williamsburg,,2495836,41058.0,,,0.0,1.0,0.0,"Brooklyn, NY, United States",Williamsburg,40.70762,-73.96764,Loft,Entire home/apt,3,1.0,1,1,Real Bed,"{Internet,Wifi,""Air conditioning"",Kitchen,Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""First aid kit"",Essentials}",450,2,50,2,56 months ago,1,0,0,0,0,11,0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,0,strict_14_with_grace_period,1,1,0,0,0.13,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
